64621.259,,,"COGENS CHECK: filosofie: cogens vervullen eigen e-behoefte en exporteren elektric naar grid",,,,,,,
"Current grids",,,,,,,,"COGENS",,
,,,,,,,,"C4",,
"A","380 kV electricity grid TenneT",,,,,,,"C14",,
"B","150 kV electricity grid TenneT",,,,,,,"C15",,
"C","66/23/20/10 kV grid Stedin",,,,,,,"C23",,
"D","Natural gas grid GTS",,,,,,,"C29","enecal, voedt meteen in op substation TenneT150",
"E","H2 grid Air Products",,,,,,,"C30","eurogen, voedt meteen in op substation TenneT150",
"F","H2 grid Air Liquide","gtsgrid1a","gtsgrid2b",,,,,"C36","Air Products WKC, voedt meteen in op TenneT150",
"G","Steam grid Uniper (Maasvlakte)","gtsgrid1b","gtsgrid2c",,,,,"C37",,
"H","Steam grid Air Liquide (Botlek)",,"gtsgrid2d",,,,,"C44","Cogen Nouryon voedt brine electrolyzer (C46) Nouryon",
"I","Steam grid Stedin (Botlek)",,,,,,,"C52","Cogen voedt alleen aan Exxon ref",
"J","Heat grid (warmte alliantie)",,,,,,,"C63","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,"C64","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,,,
,,,,,,,,,,
"Line ID unique [string]","From – conversion asset – unique [sting] (Market/Environment  are also possible)","To – conversion asset – unique [sting]","Feedstock carried","Maximum capacity link [MW]","Owner","CAPEX","Status","Linelengths_km","demand/production","InvestID_electricity"
"StedinEurd7InternalElectricity","StedinEur","D7","Electricity",31,"Stedin","UNDEF","Existing",100000,0,
"StedinEurd8InternalElectricity","StedinEur","D8","Electricity",58,"Stedin","UNDEF","Existing",100000,0,
"StedinEurd9InternalElectricity","StedinEur","D9","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"StedinEurd10InternalElectricity","StedinEur","D10","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"StedinEurd11InternalElectricity","StedinEur","D11","Electricity",25,"Stedin","UNDEF","Existing",100000,0,
"Airliquidegrid2","AirliquideH2_3","AirliquideH2_2","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"Airliquidegrid3","AirliquideH2_4","AirliquideH2_3","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"AirliquideH2_2d4InternalH2","AirliquideH2_2","D4","H2",199,"Airliquide","UNDEF","Existing",100000,0,
"Airproductsgrid1","AirproductsH2_2","AirproductsH2_1","H2",100,"Airproducts","UNDEF","Existing",100000,0,
"Airproductsgrid2","AirproductsH2_3","AirproductsH2_2","H2",100,"Airproducts","UNDEF","Existing",100000,0,
"Airproductsgrid3","AirproductsH2_4","AirproductsH2_3","H2",100,"Airproducts","UNDEF","Existing",100000,0,
"AirproductsH2_1d4InternalH2","AirproductsH2_1","D4","H2",16,"Airproducts","UNDEF","Existing",100000,0,
"c17d7InternalHtheat","C17","D7","Htheat",19,"Gunvor","UNDEF","Existing",100000,0,
"c18d7InternalHtheat","C18","D7","Htheat",72,"Gunvor","UNDEF","Existing",100000,0,
"c19d7InternalHtheat","C19","D7","Htheat",21,"Gunvor","UNDEF","Existing",100000,0,
"c20d7InternalSteam","C20","D7","Steam",24,"Gunvor","UNDEF","Existing",100000,0,
"c21d7InternalSteam","C21","D7","Steam",89,"Gunvor","UNDEF","Existing",100000,0,
"c22d7InternalSteam","C22","D7","Steam",26,"Gunvor","UNDEF","Existing",100000,0,
"AirproductsH2_2d7InternalH2","AirproductsH2_2","D7","H2",48,"Airproducts","UNDEF","Existing",100000,0,
"GTS2cc17InternalGas","GTS2c","C17","Natgas",30,"GTS","UNDEF","Existing",100000,0,
"GTSgrid2b","GTS2c","GTS2b","Natgas",4000,"GTS","UNDEF","Existing",100000,0,
"Petcokessupplyc19InternalPetcokes","Petcokessupply","C19","Petcokes",26,"Gunvor","UNDEF","Existing",100000,0,
"GTS2cc20InternalGas","GTS2c","C20","Natgas",35,"GTS","UNDEF","Existing",100000,0,
"Petcokessupplyc22InternalPetcokes","Petcokessupply","C22","Petcokes",30,"Gunvor","UNDEF","Existing",100000,0,
"GTSgrid2c","GTS2d","GTS2c","Natgas",4000,"GTS","UNDEF","Existing",100000,0,
"c23d8InternalSteam","C23","D8","Steam",40000,"Alco","UNDEF","Existing",100000,0,
"c24d9InternalSteam","C24","D9","Steam",40000,"Caldic","UNDEF","Existing",100000,0,
"c25d10InternalSteam","C25","D10","Steam",40000,"Exxonmobil","UNDEF","Existing",100000,0,
"c26d11InternalHtheat","C26","D11","Htheat",40000,"Koch","UNDEF","Existing",100000,0,
"c27d11InternalSteam","C27","D11","Steam",40000,"Koch","UNDEF","Existing",100000,0,
"GTS2cc23internalGas","GTS2c","C23","Natgas",188,"GTS","UNDEF","Existing",100000,0,
"c23StedEurinInternalElectricity","C23","StedinEur","Electricity",58,"Stedin","UNDEF","Existing",100000,0,
"c23d8InternalElectricity","C23","D8","Electricity",49,"Alco","UNDEF","Existing",100000,0,
"GTS2cc24internalGas","GTS2c","C24","Natgas",11,"GTS","UNDEF","Existing",100000,0,
"GTS2cc25internalGas","GTS2c","C25","Natgas",39,"GTS","UNDEF","Existing",100000,0,
"GTS2cc26internalGas","GTS2c","C26","Natgas",39,"GTS","UNDEF","Existing",100000,0,
"GTS2cc27internalGas","GTS2c","C27","Natgas",45,"GTS","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand12InternalElectricity","BotA_MerseyHuntsman","D12","Electricity",13,"Ducor","UNDEF","Existing",100000,0,
"c28d12InternalSteam","C28","D12","Steam",40000,"Ducor","UNDEF","Existing",100000,0,
"c29d12InternalSteam","C29","D12","Steam",40000,"Ducor","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand13InternalElectricity","BotA_MerseyHuntsman","D13","Electricity",13,"Airliquide","UNDEF","Existing",100000,0,
"c29d13InternalSteam","C29","D13","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand14InternalElectricity","BotA_MerseyHuntsman","D14","Electricity",13,"Invista","UNDEF","Existing",100000,0,
"c29d14InternalSteam","C29","D14","Steam",40000,"Invista","UNDEF","Existing",100000,0,
"c30d14InternalSteam","C30","D14","Steam",40000,"Invista","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand15InternalElectricity","BotA_MerseyHuntsman","D15","Electricity",13,"Lucite","UNDEF","Existing",100000,0,
"c30d15InternalSteam","C30","D15","Steam",40000,"Lucite","UNDEF","Existing",100000,0,
"BotA_MerseyHuntsmand16InternalElectricity","BotA_MerseyHuntsman","D16","Electricity",13,"Huntsman","UNDEF","Existing",100000,0,
"c30d16InternalSteam","C30","D16","Steam",40000,"Huntsman","UNDEF","Existing",100000,0,
"GTS3dc28internalGas","GTS3d","C28","Natgas",8,"GTS","UNDEF","Existing",100000,0,
"GTS2dc29internalGas","GTS2d","C29","Natgas",195,"GTS","UNDEF","Existing",100000,0,
"GTS2dc30InternalGas","GTS2d","C30","Natgas",358,"GTS","UNDEF","Existing",100000,0,
"GTS1dc31InternalGas","GTS1d","C31","Natgas",589,"GTS","UNDEF","Existing",100000,0,
"GTS1dc32InternalGas","GTS1d","C32","Natgas",650,"GTS","UNDEF","Existing",100000,0,
"GTS3dc33InternalGas","GTS3d","C33","Natgas",6,"GTS","UNDEF","Existing",100000,0,
"BotA_Steamgrid","BotA_Steam3","BotA_Steam4","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam3d14internalSteam","BotA_Steam3","D14","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam3d15internalSteam","BotA_Steam3","D15","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam4d12internalSteam","BotA_Steam4","D12","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam4d13internalSteam","BotA_Steam4","D13","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam4d16internalSteam","BotA_Steam4","D16","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam4c29internalSteam","BotA_Steam4","C29","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"BotA_Steam4c30internalSteam","BotA_Steam4","C30","Steam",40000,"Airliquide","UNDEF","Existing",100000,0,
"GTSgrid3c","GTS3d","GTS3c","Natgas",4000,"GTS","UNDEF","Existing",100000,0,
"GTSgrid3d","GTS2d","GTS3d","Natgas",4000,"GTS","UNDEF","Existing",100000,0,
"Airliquidegrid4","AirliquideH2_5","AirliquideH2_4","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"c31AirliquideH2_4InternalH2","C31","AirliquideH2_4","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"c32AirliquideH2_4InternalH2","C32","AirliquideH2_4","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"StedinTheemsd17InternalElectricity","StedinTheems","D17","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c34d17InternalSteam","C34","D17","Steam",40000,"Almatis","UNDEF","Existing",100000,0,
"StedinTheemsd18InternalElectricity","StedinTheems","D18","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c35d18InternalSteam","C35","D18","Steam",40000,"Climax","UNDEF","Existing",100000,0,
"StedinTheemsd19InternalElectricity","StedinTheems","D19","Electricity",70,"Stedin","UNDEF","Existing",100000,0,
"c36d19InternalSteam","C36","D19","Steam",40000,"Lyondell_Bot","UNDEF","Existing",100000,0,
"c37d19InternalSteam","C37","D19","Steam",40000,"Lyondell_Bot","UNDEF","Existing",100000,0,
