" Site's location within industrial cluster [MV_A/MV_B/EUR_A/EUR_B/EUR_C/BOT_A/BOT_B/PER]","Site ID [String]","Conversion asset ID [string] – Must be unique","Asset status (existing/   considered for construction/ planned for construction/ under construction / considered for decommissioning/planned for decommissioning/under decommissioning","Alternative for  asset (asset ID/UNDEF/0) IF 0 than completely new asset on site","Period option can be considered for construction (start year:end year)","Period of planned construction (start year:endyear)","Under construction period (start year:endyear)","Period option can be considered for disinvestment (start year:end year) or UNDEF","Duration of decommissioning (years) or UNDEF","X (center of site)","Y (center of site)","Asset description –  human readable form – [String]","Owner – {String]","Feedstocks of conversion assets– list of allowed strings, separated by : (Coal,Natgas, Refgas,Petcokes,Resfuel,Oilrest,Waste,Electricity,Steam:Htheat:Ltheat:H2]","Feedstocks input for conversion asset – MW, per feedstock, separated by :","Conversion efficiency to electricity [fraction], a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to steam [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to HT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to LT heat [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to H2 [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Natgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Utilization @ max. capacity [fraction of time], of conversion asset","CO2 emission factor [kg CO2/GJ feedstock], of conversion asset, seperated by : per feedstock type","Incoming Lines to conversion asset, list of unique strings of line names, separated by : WorldMarket , Environment if","Outgoing Lines from conversion asset, list of unique strings of line names, separated by : NULL if none, I.e. if  asset is demand","CAPEX (UNDEF / cost)","assetTypes","H2supplydemandcategory","connection_natgasnodes","Conversion efficiency to Coal [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Refgas [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Petcokes [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Resfuel [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Oilrest [fraction], , a list of numbers separated by : in the same order as the feedstocks field","Conversion efficiency to Waste [fraction], , a list of numbers separated by : in the same order as the feedstocks field","InvestID_electricity","InvestID_electricitystations"
"MV_B","Neste_MVB","D2","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",3,62138.404,442769.652,"Demand_Neste MVB","Neste","Electricity:Steam:H2","10:16:119",0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,"StedinMVd2InternalElectricity:MV_Steam1d2InternalSteam:AirliquideH2_1d2InternalH2","NULL","UNDEF",,"ChangecurrentH2demandb",,0,0,0,0,0,0,,
"MV_B","Lyondell_MVB","D3","existing","UNDEF","UNDEF","UNDEF","UNDEF","2030:2050",3,61166.852,443131.603,"Demand_Lyondell_MVB","Lyondellcovestro","Electricity:Steam:Steam","10:228:6",0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,"StedinMVd3InternalElectricityd3:MV_Steam1d3InternalSteam:c2d3InternalSteam","NULL","UNDEF",,,,0,0,0,0,0,0,,
"MV_B","Bungeloders_MVB","C1","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",1,62586.08,442556.926,"Natgas_boiler","Bungeloderscroklaan","Natgas","9",0.00,0.85,0.00,0.00,0.00,0.00,0.91,56.60,"GTS1bc1InternalGas","c1d1InternalSteam","UNDEF","Boiler","ChangecurrentH2demandb","GTS1b",0,0,0,0,0,0,,
"MV_B","Lyondell_MVB","C2","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",1,61166.852,443131.603,"Natgas_boiler","Lyondellcovestro","Natgas","85",0.00,0.85,0.00,0.00,0.00,0.00,0.91,56.60,"GTS1bc2InternalGas","c2d3InternalSteam","UNDEF","Boiler","ChangecurrentH2demandb","GTS1b",0,0,0,0,0,0,,
"MV_B","Unipermpp3_MVB","C3","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",3,61271.627,442090.201,"Coal_powergen","Uniper","Coal","2391",0.46,0.00,0.00,0.00,0.00,0.00,0.62,94.60,"Coalsupplyc3InternalCoal","c3MV_TenneT380InternalElectricity","UNDEF","Powergen_baseload",,,0,0,0,0,0,0,,
"MV_B","Uniperucml_MVB","C4","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2050",2,61271.627,442090.201,"Natgas_cogen","Uniper","Natgas","128",0.31,0.49,0.00,0.00,0.00,0.00,0.80,56.60,"GTS1bc4InternalGas","c4MV_TenneT150InternalElectricity:c4MV_SteamgridInternalSteam","UNDEF","Cogen","ChangecurrentH2demandb","GTS1b",0,0,0,0,0,0,,
"MV_B","Uniperucml_MVB","C5","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",1,61271.627,442090.201,"Natgas_boiler","Uniper","Natgas","128",0.00,0.85,0.00,0.00,0.00,0.00,0.80,56.60,"GTS1bc5InternalGas","c5MV_SteamgridInternalSteam","UNDEF","Boiler","ChangecurrentH2demandb","GTS1b",0,0,0,0,0,0,,
"MV_B","Engiecoal_MVB","C6","existing","UNDEF","UNDEF","UNDEF","UNDEF","2019:2030",3,64621.259,440464.597,"Coal_powergen","Engie","Coal","1739",0.46,0.00,0.00,0.00,0.00,0.00,0.62,94.60,"Coalsupplyc6InternalCoal","c6MV_TenneT380InternalElectricity","UNDEF","Powergen_baseload",,,0,0,0,0,0,0,,
"MV_B","GTSendpointbackbone1_MV","GTS1a","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",62527.888,442901.378,"Node_GTSgrid","GTS","Natgas","20000",0.00,0.00,0.00,0.00,0.00,1.00,0.73,0.00,"GTSgrid1a","NULL","UNDEF",,,,0,0,0,0,0,0,,
"MV_B","GTSconnection_backbone1_MVeast","GTS1b","existing","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF","UNDEF",60827.156,442247.993,"Node_GTSgrid","GTS","Natgas","438",0.00,0.00,0.00,0.00,0.00,1.00,0.73,0.00,"GTSgrid1b","GTS1bc1InternalGas:GTS1bc2InternalGas:GTS1bc4InternalGas:GTS1bc5InternalGas:GTSgrid1a","UNDEF",,,,0,0,0,0,0,0,,
